Title,Sentence
"US judge halts Trump plan to end protections for 350,000 Haitians","""Haiti's TPS was granted following an earthquake that took place over 15 years ago, it was never intended to be a de facto amnesty program, yet that’s how previous administrations have used it for decades."
"US judge halts Trump plan to end protections for 350,000 Haitians","Temporary means temporary and the final word will not be from an activist judge legislating from the bench,"" McLaughlin said."
"US judge halts Trump plan to end protections for 350,000 Haitians","Haitians were first given TPS in 2010, after a devastating 7.0 magnitude earthquake struck their country."
"US judge halts Trump plan to end protections for 350,000 Haitians","The U.S. has repeatedly extended the status, most recently under the Biden administration in July 2024."
"US judge halts Trump plan to end protections for 350,000 Haitians","The department at that time extended TPS for another 18 months through February 3, 2026, citing ""simultaneous economic, security, political, and health crises"" in Haiti, fueled by gangs and a lack of a functioning government."
"US judge halts Trump plan to end protections for 350,000 Haitians","Shortly after Trump took office, his administration tried to curtail those humanitarian protections for Haitians in February 2025, when Noem moved to truncate the Biden-era extension so it would expire in August."
"US judge halts Trump plan to end protections for 350,000 Haitians","After a federal judge in New York in July ruled Noem lacked statutory authority to do so, her department in November moved to terminate Haiti's TPS status, saying there were ""no extraordinary and temporary conditions"" in the country that would prevent migrants from returning."
"US judge halts Trump plan to end protections for 350,000 Haitians","UNICEF estimated in October that over 6 million people - more than half the population, including 3.3 million children - need humanitarian assistance."
"US judge halts Trump plan to end protections for 350,000 Haitians","Reporting by Nate Raymond in Boston and additional reporting by Ismail Shakil and Andrew Chung; Editing by Alexia Garamfalvi, Lisa Shumaker, Cynthia Osterman and Michael Perry  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Nate Raymond reports on the federal judiciary and litigation."
"US judge halts Trump plan to end protections for 350,000 Haitians",He can be reached at nate.raymond@thomsonreuters.com.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"Summary  House Oversight Committee recommended last week that Clintons be held in contempt  Bill and Hillary Clinton have said congressional probe is partisan  US DOJ recently released millions of documents related to Epstein  Feb 2 (Reuters) - Former U.S. President Bill Clinton and Hillary Clinton, the 2016 Democratic presidential nominee, will testify in a congressional investigation into the late sex offender Jeffrey Epstein, a staffer said on Monday."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"The decision could head off a planned vote in the Republican-led House of Representatives to hold the two prominent Democrats in contempt, which could lead to criminal charges."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,The Reuters Inside Track newsletter is your essential guide to the biggest events in global sport.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"The U.S. Justice Department's recent release of millions of internal documents related to Epstein has revealed the late financier and sex offender's ties to many prominent people in politics, finance, academia and business - both before and after he pleaded guilty in 2008 to prostitution charges."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"Asked if the House would hold up its contempt votes against the Clintons, House Speaker Mike Johnson told Reuters: ""They're working on that right now."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"The lawyers are looking into the details."""
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,Johnson earlier welcomed the news of the former president and the former secretary of state agreeing to testify.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,The House Oversight Committee recommended last week that the Clintons be held in contempt for refusing to testify about their relationship with Epstein.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"The Clintons had offered to cooperate with the panel but had refused to appear in person, saying the investigation was a partisan exercise aimed at protecting Republican President Donald Trump."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"""They told you under oath what they know, but you don't care."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,But the former President and former Secretary of State will be there.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"They look forward to setting a precedent that applies to everyone,"" the Clintons' deputy chief of staff, Angel Urena, said on social media."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,Bill Clinton flew on Epstein's plane several times in the early 2000s after leaving office.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,He has expressed regret about the relationship and said he knew nothing about Epstein's criminal activity.
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"Republican U.S. Representative James Comer, who chairs the House Oversight Committee, said on Monday the Clintons have not given a date for their depositions and that he will discuss next steps with panel members."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"""The Clintons' counsel has said they agree to terms, but those terms lack clarity yet again and they have provided no dates for their depositions,"" Comer said."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"""I will clarify the terms they are agreeing to and then discuss next steps with my committee members."""
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,"Reporting by Ismail Shakil, David Morgan and Kanishka Singh; Writing by Kanishka Singh and Christian Martinez; Editing by Andy Sullivan, Caitlin Webber, Stephen Coates and Diane Craft  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Kanishka Singh is a breaking news reporter for Reuters in Washington DC, who primarily covers US politics and national affairs in his current role."
Clintons agree to testify in Epstein congressional probe ahead of contempt vote,His past breaking news coverage has spanned across a range of topics like the Black Lives Matter movement; the US elections; the 2021 Capitol riots and their follow up probes; the Brexit deal; US-China trade tensions; the NATO withdrawal from Afghanistan; the COVID-19 pandemic; and a 2019 Supreme Court verdict on a religious dispute site in his native India.
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Summary  Companies  The deal is the biggest M&A transaction of all time  Deal values xAI at $250 billion, SpaceX at $1 trillion  Merger consolidates Musk’s empire ahead of SpaceX IPO  Feb 2 (Reuters) - Elon Musk said on Monday that SpaceX has acquired his artificial-intelligence startup xAI in a record-setting deal that unifies Musk's AI and space ambitions by combining the rocket-and-satellite company with the maker of the Grok chatbot."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The deal, first reported by Reuters last week, represents one of the most ambitious tie-ups in the technology sector yet, combining a space-and-defense contractor with a fast-growing AI developer whose costs are largely driven by chips, data centers and energy."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"It could also bolster SpaceX’s data-center ambitions as Musk competes with rivals like Alphabet's (GOOGL.O), opens new tab Google, Meta (META.O), opens new tab, Amazon (AMZN.O), opens new tab-backed Anthropic and OpenAI in the AI sector."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter.
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The transaction values SpaceX at $1 trillion, and xAI at $250 billion, according to a person familiar with the matter."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Investors in xAI will receive 0.1433 shares of SpaceX for every share of xAI as part of the acquisition, this person said."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Some xAI executives may also opt for cash instead of SpaceX stock at $75.46 per share, the person said."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"""This marks not just the next chapter, but the next book in SpaceX and xAI's mission: scaling to make a sentient sun to understand the Universe and extend the light of consciousness to the stars!"""
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"DEAL BREAKS RECORD HELD BY VODAFONE FOR WORLD'S TOP M&amp;A  The purchase of xAI sets a new record for the world's largest M&A deal, a distinction held for more than 25 years when Vodafone (VOD.L), opens new tab bought Germany’s Mannesmann in a hostile takeover valued at $203 billion in 2000, according to data compiled by LSEG."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The combined company of SpaceX and xAI is expected to price shares at about $527 each, another person familiar with the matter said."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"SpaceX was already the world's most valuable privately held company, last valued at $800 billion in a recent insider share sale."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"XAI was last valued at $230 billion in November, according to the Wall Street Journal."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The merger comes as the space company plans a blockbuster public offering this year that could value it at over $1.5 trillion, two people familiar with the matter said."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"SpaceX, xAI and Musk did not immediately respond to requests for comment."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The deal further consolidates Musk's far-flung business empire and fortunes into a tighter, mutually reinforcing ecosystem – what some investors and analysts informally call the ""Muskonomy"" – which already includes Tesla (TSLA.O), opens new tab, brain-chip maker Neuralink and tunnel firm the Boring Company."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"""Starlink was already a cash flow engine and now it adds an AI revenue layer on top while also becoming a distribution surface for AI services and data,"" said Ali Javaheri, PitchBook Senior Emerging Spaces Analyst."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"""With policy changes that allow certain customer data to be used for model training and the prospect of orbital data centers, SpaceX is positioning itself as an integrated infrastructure platform that can serve commercial and government use cases, which is a much stronger narrative heading into a public offering."""
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,DEAL COULD DRAW REGULATORY SCRUTINY  The world's richest man has a history of merging his ventures together.
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Musk folded social media platform X into xAI through a share swap last year, giving the AI startup access to the platform’s data and distribution."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"In 2016, he used Tesla's stock to buy his solar-energy company SolarCity."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"The agreement could draw scrutiny from regulators and investors over governance, valuation and conflicts of interest given Musk's overlapping leadership roles across multiple firms, as well as the potential movement of engineers, proprietary technology and contracts between entities."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"SpaceX also holds billions of dollars in federal contracts with NASA, the Department of Defense and intelligence agencies, which all have some authority to review M&A transactions for national security and other risks."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Reporting by Echo Wang in New York, Joey Roulette in Washington and Juby Babu in Mexico City; additional reporting Amy-Jo Crowley."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Editing by Alan Barona, Dawn Kopecki, Matthew Lewis and Louise Heavens  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Echo Wang is a correspondent at Reuters covering U.S. equity capital markets, and the intersection of Chinese business in the U.S, breaking news from U.S. crackdown on TikTok and Grindr, to restrictions Chinese companies face in listing in New York."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,She was the Reuters' Reporter of the Year in 2020.
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"Joey Roulette is a space reporter for Reuters covering the business and politics of the global space industry, often focusing on space power competition and how commercial interests intersect with international relations."
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,He was part of a team that won the 2024 Pulitzer Prize in national reporting for Reuters' coverage of Elon Musk's business empire.
SpaceX acquires xAI in record-setting deal as Musk looks to unify AI and space ambitions,"On the space beat for roughly a decade, Joey previously worked for the New York Times, the Verge, and various publications in Florida."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Summary  Companies  OpenAI seeks alternatives to Nvidia for AI inference chips  Nvidia's $100 billion investment in OpenAI delayed  OpenAI explored deals with AMD, Cerebras, and Groq  SAN FRANCISCO, Feb 2 (Reuters) - OpenAI is unsatisfied with some of Nvidia’s latest artificial intelligence chips, and it has sought alternatives since last year, eight sources familiar with the matter said, potentially complicating the relationship between the two highest-profile players in the AI boom."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","The ChatGPT-maker’s shift in strategy, the details of which are first reported here, is over an increasing emphasis on chips used to perform specific elements of AI inference, the process when an AI model such as the one that powers the ChatGPT app responds to customer queries and requests."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Nvidia remains dominant in chips for training large AI models, while inference has become a new front in the competition."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",This decision by OpenAI and others to seek out alternatives in the inference chip market marks a significant test of Nvidia’s AI dominance and comes as the two companies are in investment talks.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","In September, Nvidia said it intended to pour as much as $100 billion into OpenAI as part of a deal that gave the chipmaker a stake in the startup and gave OpenAI the cash it needed to buy the advanced chips."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","The deal had been expected to close within weeks, Reuters reported."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Instead, negotiations have dragged on for months."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","During that time, OpenAI has struck deals with AMD (AMD.O), opens new tab and others for GPUs built to rival Nvidia’s."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","But its shifting product road map also has changed the kind of computational resources it requires and bogged down talks with Nvidia, a person familiar with the matter said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","On Saturday, Nvidia CEO Jensen Huang brushed off a report of tension with OpenAI, saying the idea was “nonsense” and that Nvidia planned a huge investment in OpenAI."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","""Customers continue to choose NVIDIA for inference because we deliver the best performance and total cost of ownership at scale,"" Nvidia said in a statement."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",A spokesperson for OpenAI in a separate statement said the company relies on Nvidia to power the vast majority of its inference fleet and that Nvidia delivers the best performance per dollar for inference.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","After the Reuters story was published, OpenAI Chief Executive Sam Altman wrote in a post on X that Nvidia makes “the best AI chips in the world” and that OpenAI hoped to remain a ""gigantic customer for a very long time""."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Seven sources said that OpenAI is not satisfied with the speed at which Nvidia’s hardware can spit out answers to ChatGPT users for specific types of problems such as software development and AI communicating with other software.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","It needs new hardware that would eventually provide about 10% of OpenAI’s inference computing needs in the future, one of the sources told Reuters."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","The ChatGPT maker has discussed working with startups including Cerebras and Groq to provide chips for faster inference, two sources said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","But Nvidia struck a $20-billion licensing deal with Groq that shut down OpenAI’s talks, one of the sources told Reuters."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Nvidia's decision to snap up at Groq looked like an effort to shore up a portfolio of technology to better compete in a rapidly changing AI industry, chip industry executives said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Nvidia, in a statement, said that Groq's intellectual property was highly complementary to Nvidia's product roadmap."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",NVIDIA ALTERNATIVES  Nvidia’s graphics processing chips are well-suited for massive data crunching necessary to train large AI models like ChatGPT that have underpinned the explosive growth of AI globally to date.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","But AI advancements increasingly focus on using trained models for inference and reasoning, which could be a new, bigger stage of AI, inspiring OpenAI's efforts."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","The ChatGPT-maker’s search for GPU alternatives since last year focused on companies building chips with large amounts of memory embedded in the same piece of silicon as the rest of the chip, called SRAM."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Squishing as much costly SRAM as possible onto each chip can offer speed advantages for chatbots and other AI systems as they crunch requests from millions of users.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Inference requires more memory than training because the chip needs to spend relatively more time fetching data from memory than performing mathematical operations.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Nvidia and AMD GPU technology relies on external memory, which adds processing time and slows how quickly users can interact with a chatbot."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Inside OpenAI, the issue became particularly visible in Codex, its product for creating computer code, which the company has been aggressively marketing, one of the sources added."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","OpenAI staff attributed some of Codex’s weakness to Nvidia’s GPU-based hardware, one source said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","In a January 30 call with reporters, Altman said that customers using OpenAI’s coding models will “put a big premium on speed for coding work.”  One way OpenAI will meet that demand is through its recent deal with Cerebras, Altman said, adding that speed is less of an imperative for casual ChatGPT users."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Competing products such as Anthropic’s Claude and Google’s Gemini benefit from deployments that rely more heavily on the chips Google made in-house, called tensor processing units, or TPUs, which are designed for the sort of calculations required for inference and can offer performance advantages over general-purpose AI chips like the Nvidia-designed GPUs."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","NVIDIA ON THE MOVE  As OpenAI made clear its reservations about Nvidia technology, Nvidia approached companies working on SRAM-heavy chips, including Cerebras and Groq, about a potential acquisition, the people said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Cerebras declined and struck a commercial deal with OpenAI announced last month.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Groq held talks with OpenAI for a deal to provide computing power and received investor interest to fund the company at a valuation of roughly $14 billion, according to people familiar with the discussions."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","But by December, Nvidia moved to license Groq’s tech in a non-exclusive all-cash deal, the sources said."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Although the deal would allow other companies to license Groq’s technology, the company is now focusing on selling cloud-based software, as Nvidia hired away Groq’s chip designers."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Reporting by Max A. Cherney, Krystal Hu and Deepa Seetharaman in San Francisco; editing by Kenneth Li, Peter Henderson and Nick Zieminski  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Max A. Cherney is a correspondent for Reuters based in San Francisco, where he reports on the semiconductor industry and artificial intelligence."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","He joined Reuters in 2023 and has previously worked for Barron’s magazine and its sister publication, MarketWatch."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Cherney graduated from Trent University with a degree in history.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Krystal reports on venture capital and startups for Reuters.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","She covers Silicon Valley and beyond through the lens of money and characters, with a focus on growth-stage startups, tech investments and AI."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","She has previously covered M&A for Reuters, breaking stories on Trump's SPAC and Elon Musk's Twitter financing."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","Previously, she reported on Amazon for Yahoo Finance, and her investigation of the company's retail practice was cited by lawmakers in Congress."
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say",Krystal started a career in journalism by writing about tech and politics in China.
"Exclusive: OpenAI is unsatisfied with some Nvidia chips and looking for alternatives, sources say","She has a master's degree from New York University, and enjoys a scoop of Matcha ice cream as much as getting a scoop at work."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"Feb 2 (Reuters) - (This Feb 2 story has been corrected to remove the reference to Waymo being the only operator in the U.S. offering paid robotaxi services, in paragraph 5)  Alphabet (GOOGL.O), opens new tab unit Waymo said it had raised $16 billion in its latest fundraising round that valued the self-driving car startup at $126 billion, nearly tripling its valuation in less than two years."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter.
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"As one of the most sought-after applications of artificial intelligence, leading autonomous vehicle companies are investing heavily in commercializing their technology, with a focus on safety and regulatory collaboration to gain market share."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"The round was led by Dragoneer Investment Group, DST Global, and Sequoia Capital, with additional investments from Mubadala Capital, Andreessen Horowitz and T. Rowe Price."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"As of the last external financing in 2024, Waymo was valued at $45 billion, based on data from Tracxn."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"The company said it tripled its volume to 15 million rides in 2025, providing 400,000 rides weekly across six major U.S. metropolitan areas."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"While Waymo remains the leader in the U.S. market, competition is brewing, with Elon Musk's Tesla (TSLA.O), opens new tab making robotaxis a core priority for the company, pivoting away from electric vehicles."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"Amazon's (AMZN.O), opens new tab self-driving unit Zoox has also offered free robotaxi rides to the public on and around the Las Vegas Strip and in parts of San Francisco."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,"However, safety concerns linger as the National Highway Traffic Safety Administration last week said it is opening an investigation after a Waymo self-driving vehicle struck a child near an elementary school in California."
Waymo valued at $126 billion in latest financing as robotaxis gather steam,Reporting by Ateev Bhandari in Bengaluru; Editing by Vijay Kishore
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","KYIV, Feb 3 (Reuters) - President Volodymyr Zelenskiy accused Russia on Tuesday of exploiting a U.S.-backed energy truce to stockpile munitions and using them to attack Ukraine with hundreds of drones and a record number of ballistic missiles, a day before peace talks."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Zelenskiy said Ukraine was waiting for U.S. reaction to Russia's overnight attack that damaged Ukraine's energy infrastructure, as Washington had prompted a short-lived ceasefire in attacks on energy targets."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say",The Reuters Inside Track newsletter is your essential guide to the biggest events in global sport.
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say",U.S. President Donald Trump told reporters Russian President Vladimir Putin had made an agreement that expired on Sunday.
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","""It was Sunday to Sunday, and it opened up and he hit them hard last night,"" he said at the White House."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","""He kept his word on that ... we'll take anything, because it's really, really cold over there."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","But it was on Sunday, and he went from Sunday to Sunday."""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Asked if he was disappointed, Trump replied: ""I want him to end the war."""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","The attack knocked out heating in cities, including the capital Kyiv, during freezing temperatures, even as Ukrainian negotiators headed to Abu Dhabi for a second round of U.S.-brokered trilateral talks set for Wednesday and Thursday."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","""It was a deliberate attack against energy infrastructure, involving a record number of ballistic missiles,"" Zelenskiy wrote on X, a day after saying Moscow had largely observed the moratorium agreed by the two sides on energy facilities."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","""The Russian army exploited the U.S. proposal to briefly halt strikes - not to support diplomacy but to stockpile missiles."""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say",PRESSURE ON UKRAINE  Ukraine is under U.S. pressure to agree to a peace deal while attacks by Russia on its energy system appear intended to freeze Ukrainians into submission.
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","The first round of trilateral talks in late January brought no movement on territorial issues, with Moscow demanding Kyiv cede more land in eastern Ukraine, which it refuses to do."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Sharpening his tone from previous days, Zelenskiy said on Tuesday the work of Ukraine's negotiators would be ""adjusted accordingly"" after the attack, but offered no details."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Speaking to reporters in Kyiv at a press conference with NATO Secretary General Mark Rutte, he said Ukraine would approach Washington to discuss new consequences for Russia."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","In his nightly video address, Zelenskiy said: ""We expect a response from the United States to the Russian strikes."
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","It was America's proposal to stop strikes on energy infrastructure during diplomatic efforts and the cold winter period."""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Zelenskiy said Ukraine had been expected to make concessions, but it was also up to Russia to make concessions, mainly ""to stop the aggression."""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","And if the United States and Europe did not have the power to stop Russian strikes, he asked, ""then who will believe there is the power to guarantee that the war will not reignite again?"""
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say",NEW ATTACKS ON ENERGY SYSTEM  Ukrainian officials said Russia launched 450 drones and over 70 missiles in strikes that wounded at least 12 people and struck apartment blocks and energy infrastructure as temperatures hovered around -20 Celsius (-4 Fahrenheit).
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say",An early evening strike on Tuesday in the southeastern city of Zaporizhzhia killed two 18-year-olds and injured nine people.
"Ukrainian capital Kyiv, other cities, under Russian attack, officials say","Deputy Prime Minister Oleksiy Kuleba said 1,142 apartment buildings in Kyiv remained without heating and officials in Kharkiv, Ukraine's second-largest city, said 270,000 residents were in unheated apartments."
