sentence,tokens,labels
"Zelenskiy said Ukraine had been expected to make concessions, but it was also up to Russia to make concessions, mainly ""to stop the aggression.""","['Zelenskiy', 'said', 'Ukraine', 'had', 'been', 'expected', 'to', 'make', 'concessions', ',', 'but', 'it', 'was', 'also', 'up', 'to', 'Russia', 'to', 'make', 'concessions', ',', 'mainly', '""', 'to', 'stop', 'the', 'aggression', '.', '""']","['B-PERSON', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"And if the United States and Europe did not have the power to stop Russian strikes, he asked, ""then who will believe there is the power to guarantee that the war will not reignite again?""","['And', 'if', 'the', 'United', 'States', 'and', 'Europe', 'did', 'not', 'have', 'the', 'power', 'to', 'stop', 'Russian', 'strikes', ',', 'he', 'asked', ',', '""', 'then', 'who', 'will', 'believe', 'there', 'is', 'the', 'power', 'to', 'guarantee', 'that', 'the', 'war', 'will', 'not', 'reignite', 'again', '?', '""']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
NEW ATTACKS ON ENERGY SYSTEM  Ukrainian officials said Russia launched 450 drones and over 70 missiles in strikes that wounded at least 12 people and struck apartment blocks and energy infrastructure as temperatures hovered around -20 Celsius (-4 Fahrenheit).,"['NEW', 'ATTACKS', 'ON', 'ENERGY', 'SYSTEM', 'Ukrainian', 'officials', 'said', 'Russia', 'launched', '450', 'drones', 'and', 'over', '70', 'missiles', 'in', 'strikes', 'that', 'wounded', 'at', 'least', '12', 'people', 'and', 'struck', 'apartment', 'blocks', 'and', 'energy', 'infrastructure', 'as', 'temperatures', 'hovered', 'around', '20', 'Celsius', '(', '4', 'Fahrenheit', ')', '.']","['B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'B-NORP', 'O', 'O', 'B-LOC', 'I-LOC', 'B-CARDINAL', 'B-LOC', 'O', 'B-LOC', 'B-CARDINAL', 'B-LOC', 'B-NORP', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'B-CARDINAL', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'B-CARDINAL', 'B-NORP', 'O', 'B-CARDINAL', 'B-LOC', 'O', 'O']"
An early evening strike on Tuesday in the southeastern city of Zaporizhzhia killed two 18-year-olds and injured nine people.,"['An', 'early', 'evening', 'strike', 'on', 'Tuesday', 'in', 'the', 'southeastern', 'city', 'of', 'Zaporizhzhia', 'killed', 'two', '18', 'year', 'olds', 'and', 'injured', 'nine', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Deputy Prime Minister Oleksiy Kuleba said 1,142 apartment buildings in Kyiv remained without heating and officials in Kharkiv, Ukraine's second-largest city, said 270,000 residents were in unheated apartments.","['Deputy', 'Prime', 'Minister', 'Oleksiy', 'Kuleba', 'said', '1', ',', '142', 'apartment', 'buildings', 'in', 'Kyiv', 'remained', 'without', 'heating', 'and', 'officials', 'in', 'Kharkiv', ',', ""Ukraine's"", 'second', 'largest', 'city', ',', 'said', '270', ',', '000', 'residents', 'were', 'in', 'unheated', 'apartments', '.']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-CARDINAL', 'O', 'B-CARDINAL', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'B-CARDINAL', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"""The goal is obvious: to cause maximum destruction and leave the city without heat in severe cold,"" Kharkiv Mayor Ihor Terekhov wrote on Telegram, adding that a thermal plant in the city had been badly damaged.","['""', 'The', 'goal', 'is', 'obvious', ':', 'to', 'cause', 'maximum', 'destruction', 'and', 'leave', 'the', 'city', 'without', 'heat', 'in', 'severe', 'cold', ',', '""', 'Kharkiv', 'Mayor', 'Ihor', 'Terekhov', 'wrote', 'on', 'Telegram', ',', 'adding', 'that', 'a', 'thermal', 'plant', 'in', 'the', 'city', 'had', 'been', 'badly', 'damaged', '.']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-ORG', 'O', 'B-PERSON', 'O', 'B-ORG', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O']"
Energy Minister Denys Shmyhal said a power plant in Kyiv's eastern suburbs had also been seriously damaged and officials were considering how to redirect resources to restore heating.,"['Energy', 'Minister', 'Denys', 'Shmyhal', 'said', 'a', 'power', 'plant', 'in', ""Kyiv's"", 'eastern', 'suburbs', 'had', 'also', 'been', 'seriously', 'damaged', 'and', 'officials', 'were', 'considering', 'how', 'to', 'redirect', 'resources', 'to', 'restore', 'heating', '.']","['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Russia and Ukraine said last week they had halted strikes on each other's energy infrastructure, but they disagreed on the timeframe for the moratorium.","['Russia', 'and', 'Ukraine', 'said', 'last', 'week', 'they', 'had', 'halted', 'strikes', 'on', 'each', ""other's"", 'energy', 'infrastructure', ',', 'but', 'they', 'disagreed', 'on', 'the', 'timeframe', 'for', 'the', 'moratorium', '.']","['B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Much of Ukraine has been gripped by a new wave of cold after what experts said was the coldest January in six years.,"['Much', 'of', 'Ukraine', 'has', 'been', 'gripped', 'by', 'a', 'new', 'wave', 'of', 'cold', 'after', 'what', 'experts', 'said', 'was', 'the', 'coldest', 'January', 'in', 'six', 'years', '.']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
Families languish in frigid and darkened apartments during power outages and cuts to heating that last hours and days.,"['Families', 'languish', 'in', 'frigid', 'and', 'darkened', 'apartments', 'during', 'power', 'outages', 'and', 'cuts', 'to', 'heating', 'that', 'last', 'hours', 'and', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Kyiv resident Natalia Hlobenko, 35, described how she rushed to cover her 11-year-old son just on Tuesday before an explosion sprayed her apartment with broken glass.","['Kyiv', 'resident', 'Natalia', 'Hlobenko', ',', '35', ',', 'described', 'how', 'she', 'rushed', 'to', 'cover', 'her', '11', 'year', 'old', 'son', 'just', 'on', 'Tuesday', 'before', 'an', 'explosion', 'sprayed', 'her', 'apartment', 'with', 'broken', 'glass', '.']","['B-LOC', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"said a teary Hlobenko, bundled in her windowless apartment.","['said', 'a', 'teary', 'Hlobenko', ',', 'bundled', 'in', 'her', 'windowless', 'apartment', '.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']"
