tokens,labels,labels_encoded
"['``', 'Haiti', ""'s"", 'TPS', 'was', 'granted', 'following', 'an', 'earthquake', 'that', 'took', 'place', 'over', '15', 'years', 'ago', ',', 'it', 'was', 'never', 'intended', 'to', 'be', 'a', 'de', 'facto', 'amnesty', 'program', ',', 'yet', 'that', '’', 's', 'how', 'previous', 'administrations', 'have', 'used', 'it', 'for', 'decades', '.']","['O', 'B-GPE', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 3, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Temporary', 'means', 'temporary', 'and', 'the', 'final', 'word', 'will', 'not', 'be', 'from', 'an', 'activist', 'judge', 'legislating', 'from', 'the', 'bench', ',', ""''"", 'McLaughlin', 'said', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28]"
"['Haitians', 'were', 'first', 'given', 'TPS', 'in', '2010', ',', 'after', 'a', 'devastating', '7.0', 'magnitude', 'earthquake', 'struck', 'their', 'country', '.']","['B-NORP', 'O', 'B-ORDINAL', 'O', 'B-ORG', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-NORP', 'O', 'O']","[7, 28, 8, 28, 9, 28, 1, 28, 28, 28, 28, 0, 28, 28, 28, 7, 28, 28]"
"['The', 'U.S.', 'has', 'repeatedly', 'extended', 'the', 'status', ',', 'most', 'recently', 'under', 'the', 'Biden', 'administration', 'in', 'July', '2024', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-DATE', 'I-DATE', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 1, 16, 28]"
"['The', 'department', 'at', 'that', 'time', 'extended', 'TPS', 'for', 'another', '18', 'months', 'through', 'February', '3', ',', '2026', ',', 'citing', '``', 'simultaneous', 'economic', ',', 'security', ',', 'political', ',', 'and', 'health', 'crises', ""''"", 'in', 'Haiti', ',', 'fueled', 'by', 'gangs', 'and', 'a', 'lack', 'of', 'a', 'functioning', 'government', '.']","['B-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-ORG', 'B-DATE', 'B-CARDINAL', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[9, 28, 28, 9, 22, 28, 9, 28, 28, 12, 25, 9, 1, 0, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 3, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Shortly', 'after', 'Trump', 'took', 'office', ',', 'his', 'administration', 'tried', 'to', 'curtail', 'those', 'humanitarian', 'protections', 'for', 'Haitians', 'in', 'February', '2025', ',', 'when', 'Noem', 'moved', 'to', 'truncate', 'the', 'Biden-era', 'extension', 'so', 'it', 'would', 'expire', 'in', 'August', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","[28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 1, 16, 28, 28, 10, 28, 28, 28, 28, 7, 28, 28, 28, 28, 28, 28, 1, 28]"
"['After', 'a', 'federal', 'judge', 'in', 'New', 'York', 'in', 'July', 'ruled', 'Noem', 'lacked', 'statutory', 'authority', 'to', 'do', 'so', ',', 'her', 'department', 'in', 'November', 'moved', 'to', 'terminate', 'Haiti', ""'s"", 'TPS', 'status', ',', 'saying', 'there', 'were', '``', 'no', 'extraordinary', 'and', 'temporary', 'conditions', ""''"", 'in', 'the', 'country', 'that', 'would', 'prevent', 'migrants', 'from', 'returning', '.']","['O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'B-ORG', 'I-ORG', 'B-GPE', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 3, 18, 28, 1, 28, 10, 28, 28, 28, 9, 28, 28, 28, 28, 28, 28, 1, 28, 9, 22, 3, 28, 9, 28, 28, 28, 9, 28, 28, 10, 28, 28, 9, 28, 28, 28, 9, 28, 9, 28, 28, 28, 28, 28, 28]"
"['UNICEF', 'estimated', 'in', 'October', 'that', 'over', '6', 'million', 'people', '-', 'more', 'than', 'half', 'the', 'population', ',', 'including', '3.3', 'million', 'children', '-', 'need', 'humanitarian', 'assistance', '.']","['B-ORG', 'O', 'O', 'B-DATE', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'O']","[9, 28, 28, 1, 28, 28, 12, 25, 28, 28, 28, 28, 28, 28, 28, 28, 28, 12, 25, 28, 28, 28, 28, 28, 28]"
"['Summary', 'House', 'Oversight', 'Committee', 'recommended', 'last', 'week', 'that', 'Clintons', 'be', 'held', 'in', 'contempt', 'Bill', 'and', 'Hillary', 'Clinton', 'have', 'said', 'congressional', 'probe', 'is', 'partisan', 'US', 'DOJ', 'recently', 'released', 'millions', 'of', 'documents', 'related', 'to', 'Epstein', 'Feb', '2', '(', 'Reuters', ')', '-', 'Former', 'U.S.', 'President', 'Bill', 'Clinton', 'and', 'Hillary', 'Clinton', ',', 'the', '2016', 'Democratic', 'presidential', 'nominee', ',', 'will', 'testify', 'in', 'a', 'congressional', 'investigation', 'into', 'the', 'late', 'sex', 'offender', 'Jeffrey', 'Epstein', ',', 'a', 'staffer', 'said', 'on', 'Monday', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-DATE', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","[28, 9, 22, 22, 28, 1, 16, 28, 10, 28, 28, 28, 28, 10, 28, 10, 23, 28, 28, 28, 28, 28, 28, 9, 22, 28, 28, 28, 28, 28, 28, 28, 10, 1, 16, 28, 9, 28, 28, 28, 28, 28, 10, 23, 28, 10, 23, 28, 28, 1, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 28, 1, 28]"
"['The', 'decision', 'could', 'head', 'off', 'a', 'planned', 'vote', 'in', 'the', 'Republican-led', 'House', 'of', 'Representatives', 'to', 'hold', 'the', 'two', 'prominent', 'Democrats', 'in', 'contempt', ',', 'which', 'could', 'lead', 'to', 'criminal', 'charges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 9, 22, 22, 28, 28, 28, 28, 28, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['The', 'U.S.', 'Justice', 'Department', ""'s"", 'recent', 'release', 'of', 'millions', 'of', 'internal', 'documents', 'related', 'to', 'Epstein', 'has', 'revealed', 'the', 'late', 'financier', 'and', 'sex', 'offender', ""'s"", 'ties', 'to', 'many', 'prominent', 'people', 'in', 'politics', ',', 'finance', ',', 'academia', 'and', 'business', '-', 'both', 'before', 'and', 'after', 'he', 'pleaded', 'guilty', 'in', '2008', 'to', 'prostitution', 'charges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28]"
"['Asked', 'if', 'the', 'House', 'would', 'hold', 'up', 'its', 'contempt', 'votes', 'against', 'the', 'Clintons', ',', 'House', 'Speaker', 'Mike', 'Johnson', 'told', 'Reuters', ':', '``', 'They', ""'re"", 'working', 'on', 'that', 'right', 'now', '.']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 9, 28, 10, 23, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Johnson', 'earlier', 'welcomed', 'the', 'news', 'of', 'the', 'former', 'president', 'and', 'the', 'former', 'secretary', 'of', 'state', 'agreeing', 'to', 'testify', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['The', 'House', 'Oversight', 'Committee', 'recommended', 'last', 'week', 'that', 'the', 'Clintons', 'be', 'held', 'in', 'contempt', 'for', 'refusing', 'to', 'testify', 'about', 'their', 'relationship', 'with', 'Epstein', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']","[28, 9, 22, 22, 28, 1, 16, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28]"
"['The', 'Clintons', 'had', 'offered', 'to', 'cooperate', 'with', 'the', 'panel', 'but', 'had', 'refused', 'to', 'appear', 'in', 'person', ',', 'saying', 'the', 'investigation', 'was', 'a', 'partisan', 'exercise', 'aimed', 'at', 'protecting', 'Republican', 'President', 'Donald', 'Trump', '.']","['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-PERSON', 'I-PERSON', 'O']","[28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 10, 23, 28]"
"['They', 'look', 'forward', 'to', 'setting', 'a', 'precedent', 'that', 'applies', 'to', 'everyone', ',', ""''"", 'the', 'Clintons', ""'"", 'deputy', 'chief', 'of', 'staff', ',', 'Angel', 'Urena', ',', 'said', 'on', 'social', 'media', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 28, 28]"
"['Bill', 'Clinton', 'flew', 'on', 'Epstein', ""'s"", 'plane', 'several', 'times', 'in', 'the', 'early', '2000s', 'after', 'leaving', 'office', '.']","['B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O']","[10, 23, 28, 28, 10, 28, 28, 28, 28, 28, 28, 1, 16, 28, 28, 28, 28]"
"['He', 'has', 'expressed', 'regret', 'about', 'the', 'relationship', 'and', 'said', 'he', 'knew', 'nothing', 'about', 'Epstein', ""'s"", 'criminal', 'activity', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O']","[28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28]"
"['Republican', 'U.S.', 'Representative', 'James', 'Comer', ',', 'who', 'chairs', 'the', 'House', 'Oversight', 'Committee', ',', 'said', 'on', 'Monday', 'the', 'Clintons', 'have', 'not', 'given', 'a', 'date', 'for', 'their', 'depositions', 'and', 'that', 'he', 'will', 'discuss', 'next', 'steps', 'with', 'panel', 'members', '.']","['B-NORP', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[7, 28, 28, 10, 23, 28, 28, 28, 28, 9, 22, 22, 28, 28, 28, 1, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['``', 'The', 'Clintons', ""'"", 'counsel', 'has', 'said', 'they', 'agree', 'to', 'terms', ',', 'but', 'those', 'terms', 'lack', 'clarity', 'yet', 'again', 'and', 'they', 'have', 'provided', 'no', 'dates', 'for', 'their', 'depositions', ',', ""''"", 'Comer', 'said', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']","[28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28]"
"['``', 'I', 'will', 'clarify', 'the', 'terms', 'they', 'are', 'agreeing', 'to', 'and', 'then', 'discuss', 'next', 'steps', 'with', 'my', 'committee', 'members', '.', ""''""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
